# {"down_first":1,"dropped_frames":0,"exercise":"bench_press","frame_period_s":0.01112774731866934,"frame_rate_hz":89.86544817766229,"line_high_m":0.4656361645619503,"line_low_m":0.026502666749774063,"line_mid_m":0.24606941565586218,"lost_frames":0,"n_reps":20,"produced_by":"app: OfflinePipeline","session_id":"session_20260520_125601","smoother_nis":[0.6857981523882658,0.7361060178480429,0.8165827370249716]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,846,970,970,1053,0.494677,0.86395,0,0,0,0
2,1055,1149,1149,1231,0.483951,0.894575,0,0,1,0
3,1234,1315,1315,1403,0.482686,0.855292,0,0,1,0
4,1405,1485,1485,1560,0.437013,0.881651,0,0,1,0
5,1563,1663,1663,1729,0.450909,1.07758,0,0,1,0
6,1732,1827,1827,1910,0.454955,0.999331,0,0,1,0
7,1914,2001,2001,2089,0.451348,0.817176,0,0,0,0
8,2092,2191,2191,2262,0.417711,0.880625,0,0,1,0
9,2266,2369,2369,2459,0.431341,0.810943,0,0,0,0
10,2463,2568,2568,2644,0.43708,0.864117,0,0,1,0
11,2647,2769,2769,2839,0.420117,0.894831,0,0,0,0
12,2842,2970,2970,3052,0.417333,0.935018,0,0,0,0
13,3055,3151,3151,3244,0.4385,1.01378,0,0,0,0
14,3247,3340,3340,3412,0.421486,0.902287,0,0,0,0
15,3416,3532,3532,3618,0.424373,0.864157,0,0,1,0
16,3622,3714,3714,3791,0.43829,0.872891,0,0,0,0
17,3794,3898,3898,3980,0.435126,0.891493,0,0,1,0
18,3999,4103,4103,4183,0.44837,0.835889,0,0,0,0
19,4214,4301,4301,4387,0.434891,0.790336,0,0,0,0
20,4405,4496,4496,4592,0.454336,0.712755,0,0,0,0
