# {"down_first":0,"dropped_frames":10,"exercise":"biceps_curl","frame_period_s":0.011127730696798453,"frame_rate_hz":89.86558241274736,"line_high_m":0.5689011923244435,"line_low_m":0.06374194266267107,"line_mid_m":0.3163215674935573,"lost_frames":0,"n_reps":12,"produced_by":"app: OfflinePipeline","session_id":"session_20260510_123224","smoother_nis":[2.6522549168444343,1.2506821706970506,1.0505787191715183]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,442,521,388,442,0.489775,1.34293,2,0,0,0
2,584,672,523,584,0.418294,1.04439,0,0,0,0
3,737,821,674,737,0.487744,1.19037,0,0,0,0
4,891,974,824,891,0.506063,1.15303,0,1,0,0
5,1045,1132,976,1045,0.5238,1.18221,1,0,0,0
6,1201,1306,1135,1201,0.483783,1.11733,0,0,0,0
7,1372,1466,1309,1372,0.48492,1.24326,1,1,0,0
8,1540,1626,1469,1540,0.523552,1.11025,1,0,0,0
9,1708,1796,1629,1708,0.461988,0.957239,0,0,0,0
10,1878,1970,1799,1878,0.475966,0.988004,1,0,0,0
11,2053,2151,1974,2053,0.531687,1.37404,0,1,0,0
12,2232,2311,2155,2232,0.535635,1.32118,2,1,0,0
