# {"down_first":0,"dropped_frames":9,"exercise":"biceps_curl","frame_period_s":0.01112767263513513,"frame_rate_hz":89.86605131090437,"line_high_m":0.6870575317406361,"line_low_m":0.01783376933713466,"line_mid_m":0.3524456505388854,"lost_frames":0,"n_reps":11,"produced_by":"app: OfflinePipeline","session_id":"session_20260511_104137","smoother_nis":[1.4704951996947704,2.1067568231012843,1.1569480706275186]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,899,968,822,899,0.636898,1.28089,0,0,0,0
2,1037,1102,971,1037,0.453137,1.17814,0,0,0,0
3,1174,1258,1104,1174,0.510523,1.18489,0,0,0,0
4,1352,1437,1260,1352,0.613683,1.07422,1,0,0,0
5,1511,1596,1438,1511,0.729821,1.58514,0,1,0,0
6,1674,1751,1599,1674,0.707936,1.53018,0,1,0,0
7,1835,1928,1754,1835,0.626666,1.24111,0,0,0,0
8,2003,2113,1931,2003,0.744637,1.48632,0,1,0,0
9,2201,2329,2118,2201,0.774062,1.39704,0,0,0,0
10,2428,2510,2331,2428,0.66881,1.18306,1,0,0,0
11,2618,2784,2523,2618,0.777762,1.24074,1,1,0,0
