# {"down_first":0,"dropped_frames":13,"exercise":"biceps_curl","frame_period_s":0.011127655172413787,"frame_rate_hz":89.86619233844233,"line_high_m":0.6294546717690228,"line_low_m":0.14586641539711814,"line_mid_m":0.38766054358307045,"lost_frames":0,"n_reps":19,"produced_by":"app: OfflinePipeline","session_id":"session_20260511_122245","smoother_nis":[1.1124073251565854,2.2618043075451384,1.5348559197521516]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,348,459,257,348,0.577445,0.971249,0,1,0,0
2,542,626,461,542,0.456996,0.856644,2,0,0,0
3,699,781,628,699,0.444012,0.930845,0,0,0,0
4,877,955,783,877,0.479998,0.864358,1,1,0,0
5,1037,1124,957,1037,0.486744,0.956699,1,1,0,0
6,1218,1296,1125,1218,0.461302,0.842264,0,0,0,0
7,1395,1468,1298,1395,0.458281,0.845042,0,0,0,0
8,1575,1657,1470,1575,0.501014,0.87341,0,1,0,0
9,1738,1859,1659,1738,0.488719,0.834297,0,0,0,0
10,1940,2053,1861,1940,0.469036,0.836052,1,0,0,0
11,2134,2240,2055,2134,0.463521,0.780947,1,0,0,0
12,2364,2441,2242,2364,0.464133,0.787864,0,1,0,0
13,2528,2644,2443,2528,0.476347,0.835017,2,0,0,0
14,2754,2861,2646,2754,0.495249,0.664656,1,1,0,0
15,2986,3064,2863,2986,0.480378,0.645119,0,0,0,0
16,3172,3285,3066,3172,0.512634,0.76526,0,1,0,0
17,3405,3543,3288,3405,0.432957,0.673705,3,0,0,0
18,3722,3816,3545,3722,0.482385,0.66885,0,1,0,0
19,3939,4067,3818,3939,0.463306,0.69372,1,1,0,0
