# {"down_first":1,"dropped_frames":9,"exercise":"bench_press","frame_period_s":0.011127701048078517,"frame_rate_hz":89.8658218511968,"line_high_m":0.4611087562010984,"line_low_m":-0.010622392638750467,"line_mid_m":0.22524318178117397,"lost_frames":18,"n_reps":17,"produced_by":"app: OfflinePipeline","session_id":"session_20260517_180935","smoother_nis":[1.617790293882877,0.7981568700034889,0.7039172510229785]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,2247,2337,2337,2394,0.461692,1.28301,1,0,0,0
2,2396,2468,2468,2526,0.476186,1.31638,11,0,0,0
3,2528,2597,2597,2657,0.499122,1.30929,0,0,0,0
4,2660,2729,2729,2783,0.528601,1.44021,0,0,0,0
5,2802,2862,2862,2922,0.487956,1.32159,1,0,1,0
6,2925,2991,2991,3054,0.462553,1.21983,1,0,0,0
7,3128,3207,3207,3273,0.442222,0.978171,0,0,0,0
8,3388,3466,3466,3527,0.479377,1.25892,0,0,0,0
9,3688,3816,3816,3912,0.500325,1.37134,0,0,0,0
10,3913,3974,3974,4026,0.512913,1.44264,1,0,1,0
11,4027,4086,4086,4135,0.452838,1.31345,0,0,1,0
12,4136,4191,4191,4270,0.452625,0.999823,0,0,1,0
13,4272,4326,4326,4372,0.460422,1.3388,0,0,0,0
14,4374,4418,4418,4462,0.431694,1.37277,0,0,1,0
15,4463,4509,4509,4554,0.408606,1.25446,0,0,1,0
16,4555,4606,4606,4660,0.399154,1.11629,1,0,0,0
17,4891,5016,5016,5135,0.268054,0.317911,1,0,0,0
