# {"down_first":0,"dropped_frames":12,"exercise":"barbell_row","frame_period_s":0.011127590785907845,"frame_rate_hz":89.86671232252857,"line_high_m":0.11654444479365139,"line_low_m":-0.2857115987586165,"line_mid_m":-0.08458357698248256,"lost_frames":0,"n_reps":10,"produced_by":"app: OfflinePipeline","session_id":"session_20260511_110657","smoother_nis":[0.33676134825517023,0.7728752704921079,1.867669144631406]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,415,470,358,415,0.388329,1.02069,3,0,0,0
2,520,581,472,520,0.407298,1.25704,0,0,0,0
3,633,687,583,633,0.398265,1.14691,0,1,0,0
4,742,800,689,742,0.375176,1.02236,0,0,0,0
5,851,909,802,851,0.426385,1.27672,1,0,0,0
6,963,1017,911,963,0.39828,1.0923,0,0,0,0
7,1071,1128,1019,1071,0.435253,1.18132,0,1,0,0
8,1181,1239,1130,1181,0.413727,1.19247,0,0,0,0
9,1295,1354,1241,1295,0.388098,1.0274,0,1,0,0
10,1414,1567,1356,1414,0.424828,1.03885,2,1,0,0
