# {"down_first":1,"dropped_frames":1,"exercise":"back_squat","frame_period_s":0.011127674513496543,"frame_rate_hz":89.8660361414345,"line_high_m":0.74793677376998,"line_low_m":0.056986518897877925,"line_mid_m":0.402461646333929,"lost_frames":0,"n_reps":10,"produced_by":"app: OfflinePipeline","session_id":"session_20260520_131447","smoother_nis":[11.590147121040026,2.6636095500284918,0.7427896476253026]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,674,779,779,854,0.613552,1.15425,0,0,1,0
2,891,975,975,1049,0.682704,1.2967,0,0,0,0
3,1091,1165,1165,1237,0.67647,1.18568,0,0,0,0
4,1284,1358,1358,1432,0.667473,1.15769,0,0,0,0
5,1470,1550,1550,1625,0.704069,1.22806,0,0,0,0
6,1657,1739,1739,1818,0.720583,1.14843,0,0,0,0
7,1862,1945,1945,2025,0.691034,1.072,0,0,0,0
8,2065,2141,2141,2217,0.650118,1.02435,0,0,0,0
9,2263,2344,2344,2429,0.7163,1.03169,0,0,1,0
10,2474,2547,2547,2630,0.719707,1.04847,0,0,1,0
