# {"down_first":1,"dropped_frames":15,"exercise":"back_squat","frame_period_s":0.01112778786423312,"frame_rate_hz":89.865120741041,"line_high_m":0.7558365805193236,"line_low_m":0.1979818557766846,"line_mid_m":0.4769092181480041,"lost_frames":0,"n_reps":20,"produced_by":"app: OfflinePipeline","session_id":"session_20260511_123358","smoother_nis":[3.8698089541201752,3.469342014824329,2.012865684114651]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,1191,1296,1296,1380,0.585863,0.862891,0,0,1,0
2,1383,1487,1487,1577,0.583484,0.83433,1,0,0,0
3,1592,1686,1686,1769,0.543404,0.822186,0,0,1,0
4,1793,1879,1879,1983,0.558325,0.826441,1,0,0,0
5,1988,2086,2086,2172,0.554373,0.85719,0,0,0,0
6,2201,2290,2290,2384,0.553331,0.877011,0,0,1,0
7,2411,2503,2503,2614,0.539083,0.871133,0,0,1,0
8,2622,2717,2717,2837,0.531359,0.791203,2,0,0,0
9,2841,2929,2929,3023,0.571587,0.845118,0,0,0,0
10,3053,3149,3149,3240,0.548978,0.794545,1,0,1,0
11,3274,3372,3372,3488,0.572836,0.785958,0,0,0,0
12,3503,3598,3598,3702,0.606194,0.864417,0,0,0,0
13,3708,3839,3839,3933,0.55938,0.793331,0,0,1,0
14,3981,4082,4082,4186,0.566009,0.728455,1,0,1,0
15,4232,4330,4330,4420,0.580121,0.841168,2,0,0,0
16,4487,4579,4579,4679,0.538795,0.753833,0,0,1,0
17,4735,4833,4833,4948,0.586774,0.737335,1,0,1,0
18,4972,5096,5096,5191,0.59393,0.866885,1,0,1,0
19,5241,5359,5359,5455,0.572801,0.762625,1,0,1,0
20,5511,5626,5626,5718,0.566756,0.772037,0,0,0,0
