# {"down_first":0,"dropped_frames":2,"exercise":"biceps_curl","frame_period_s":0.011127800688764473,"frame_rate_hz":89.86501717358048,"line_high_m":0.7393740648368731,"line_low_m":0.2757019914815451,"line_mid_m":0.5075380281592091,"lost_frames":1,"n_reps":22,"produced_by":"app: OfflinePipeline","session_id":"session_20260520_135525","smoother_nis":[2.252773431575629,2.019779310516758,1.0348496488054357]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,905,970,822,905,0.428017,0.788926,0,1,0,0
2,1042,1112,972,1042,0.383404,0.851371,0,1,0,0
3,1182,1254,1113,1182,0.541918,1.16524,0,1,0,0
4,1318,1402,1255,1318,0.454951,1.15511,0,0,0,0
5,1471,1555,1404,1471,0.527138,1.19465,0,1,0,0
6,1624,1703,1557,1624,0.464603,1.15758,0,0,0,0
7,1778,1848,1704,1778,0.461635,1.09569,0,1,0,0
8,1920,1996,1849,1920,0.464154,1.15702,0,1,0,0
9,2061,2139,1998,2061,0.467824,1.19154,1,1,0,0
10,2220,2289,2141,2220,0.452791,1.0838,0,0,0,0
11,2370,2441,2290,2370,0.456217,1.06647,0,0,0,0
12,2530,2602,2443,2530,0.502823,1.07555,0,1,0,0
13,2687,2757,2603,2687,0.419445,0.900581,0,0,0,0
14,2828,2905,2759,2828,0.425577,1.01107,1,0,0,0
15,2980,3066,2907,2980,0.477831,1.06984,0,1,0,0
16,3142,3227,3068,3142,0.46399,1.10206,0,0,0,0
17,3314,3382,3229,3314,0.406349,0.960386,0,0,0,0
18,3469,3536,3384,3469,0.360774,0.897625,0,0,0,0
19,3624,3699,3538,3624,0.41505,0.911749,0,0,0,0
20,3783,3870,3701,3783,0.495191,1.10482,0,1,0,0
21,3959,4020,3872,3959,0.478829,0.990462,0,1,0,0
22,4092,4174,4022,4092,0.424429,0.991719,0,0,0,0
