# {"down_first":0,"dropped_frames":1,"exercise":"deadlift","frame_period_s":0.011127642009325991,"frame_rate_hz":89.86629864277694,"line_high_m":0.07213351052749198,"line_low_m":-0.6039626650014002,"line_mid_m":-0.2659145772369541,"lost_frames":162,"n_reps":15,"produced_by":"app: OfflinePipeline","session_id":"session_20260520_130331","smoother_nis":[0.9786308325913061,0.7462848089197718,0.8305812477251715]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,648,776,508,648,0.699789,1.05184,0,1,0,0
2,934,1076,803,934,0.642452,1.02707,0,0,0,0
3,1216,1368,1097,1216,0.71424,1.29152,0,1,0,0
4,1461,1636,1371,1461,0.674542,1.34265,0,0,0,0
5,1726,1913,1638,1726,0.659526,1.26482,0,1,0,0
6,2055,2187,1915,2055,0.660004,1.29303,0,1,0,0
7,2317,2457,2190,2317,0.675663,1.25434,0,0,0,0
8,2547,2716,2459,2547,0.747909,1.41782,0,1,0,0
9,2817,2979,2718,2817,0.696428,1.35923,36,0,0,0
10,3065,3239,2981,3065,0.688915,1.42182,4,1,0,0
11,3329,3501,3241,3329,0.664168,1.316,23,0,0,0
12,3591,3756,3503,3591,0.651099,1.15221,33,0,0,0
13,3850,4018,3760,3850,0.709719,1.35884,26,1,0,0
14,4096,4256,4020,4096,0.64438,1.30608,24,0,0,0
15,4340,4502,4258,4340,0.621938,1.27849,12,0,0,0
