# {"down_first":0,"dropped_frames":9,"exercise":"barbell_row","frame_period_s":0.01112773506556579,"frame_rate_hz":89.8655471313699,"line_high_m":0.25405437717162066,"line_low_m":-0.2097118928230862,"line_mid_m":0.022171242174267233,"lost_frames":0,"n_reps":11,"produced_by":"app: OfflinePipeline","session_id":"session_20260510_122447","smoother_nis":[0.41845945171084864,1.0342218293633862,0.4987272499268494]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,1052,1110,987,1052,0.709656,1.54103,0,1,0,0
2,1173,1240,1112,1173,0.493593,1.04839,1,1,0,0
3,1308,1366,1242,1308,0.516074,0.993873,0,1,0,0
4,1426,1484,1367,1426,0.482251,1.07269,0,1,0,0
5,1546,1606,1485,1546,0.511473,1.09749,0,1,0,0
6,1666,1727,1608,1666,0.463766,1.08264,0,0,0,0
7,1786,1843,1729,1786,0.469822,1.07088,0,1,0,0
8,1903,1957,1845,1903,0.485229,1.11391,1,0,0,0
9,2020,2076,1958,2020,0.483546,1.0553,0,0,0,0
10,2135,2188,2078,2135,0.509349,1.24741,0,0,0,0
11,2248,2373,2190,2248,0.4844,1.13085,0,0,0,0
