# {"down_first":0,"dropped_frames":6,"exercise":"barbell_row","frame_period_s":0.01112775025588538,"frame_rate_hz":89.86542445730285,"line_high_m":0.1590848314263886,"line_low_m":-0.2312290658496749,"line_mid_m":-0.03607211721164315,"lost_frames":0,"n_reps":15,"produced_by":"app: OfflinePipeline","session_id":"session_20260511_111135","smoother_nis":[0.571221505003841,0.5295663916221474,1.2851089592909937]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,520,590,453,520,0.467002,1.11867,1,1,0,0
2,653,727,592,653,0.365041,0.850188,0,1,0,0
3,792,864,729,792,0.375535,0.866598,0,0,0,0
4,929,999,866,929,0.400435,0.877134,0,0,0,0
5,1064,1130,1002,1064,0.404924,0.952009,0,1,0,0
6,1204,1277,1132,1204,0.441404,0.93592,0,1,0,0
7,1344,1417,1280,1344,0.375281,0.838505,1,0,0,0
8,1484,1555,1420,1484,0.357158,0.816317,0,0,0,0
9,1624,1698,1558,1624,0.352549,0.796098,0,0,0,0
10,1764,1835,1700,1764,0.396677,0.895877,0,1,0,0
11,1904,1976,1838,1904,0.417321,0.918723,0,1,0,0
12,2047,2121,1979,2047,0.379768,0.822555,0,0,0,0
13,2196,2272,2124,2196,0.440383,0.932139,2,1,0,0
14,2345,2422,2275,2345,0.403037,0.864652,0,0,0,0
15,2493,2603,2424,2493,0.435573,0.904278,0,1,0,0
