# {"down_first":0,"dropped_frames":9,"exercise":"biceps_curl","frame_period_s":0.011127636470243363,"frame_rate_hz":89.8663433761626,"line_high_m":0.6431308430859282,"line_low_m":-0.011578877780708926,"line_mid_m":0.31577598265260964,"lost_frames":0,"n_reps":15,"produced_by":"app: OfflinePipeline","session_id":"session_20260510_123417","smoother_nis":[1.2853083258607585,1.8150671116350114,1.1116305100453465]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,919,1012,841,919,0.573112,1.29313,1,1,0,0
2,1090,1171,1015,1090,0.645403,1.4436,0,1,0,0
3,1244,1324,1173,1244,0.654545,1.57107,0,0,0,0
4,1397,1471,1327,1397,0.652447,1.5396,0,1,0,0
5,1543,1622,1473,1543,0.656783,1.54585,0,1,0,0
6,1696,1762,1624,1696,0.652486,1.50062,0,1,0,0
7,1838,1911,1764,1838,0.664837,1.52915,0,1,0,0
8,1984,2053,1914,1984,0.630834,1.47902,0,0,0,0
9,2129,2202,2055,2129,0.678518,1.5102,0,1,0,0
10,2277,2349,2204,2277,0.681065,1.55538,0,0,0,0
11,2429,2505,2351,2429,0.659779,1.47688,2,0,0,0
12,2579,2654,2507,2579,0.634755,1.44704,0,0,0,0
13,2732,2804,2657,2732,0.700148,1.54288,3,1,0,0
14,2885,2962,2806,2885,0.706411,1.53181,0,1,0,0
15,3043,3130,2965,3043,0.729194,1.54895,0,1,0,0
