# {"down_first":0,"dropped_frames":21,"exercise":"deadlift","frame_period_s":0.01112772917473849,"frame_rate_hz":89.86559470463575,"line_high_m":0.06157627501514389,"line_low_m":-0.6374569498463563,"line_mid_m":-0.2879403374156062,"lost_frames":0,"n_reps":16,"produced_by":"app: OfflinePipeline","session_id":"session_20260510_124017","smoother_nis":[0.6516639209772495,1.5238880880265466,1.3313450591986995]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,1230,1388,1139,1230,0.671384,1.29031,0,0,0,0
2,1468,1612,1390,1468,0.656723,1.22484,1,1,0,0
3,1691,1823,1614,1691,0.698486,1.28439,2,1,0,0
4,1910,2049,1826,1910,0.698778,1.2556,0,0,0,0
5,2133,2266,2052,2133,0.712401,1.3085,0,0,0,0
6,2345,2472,2268,2345,0.704682,1.275,3,1,0,0
7,2551,2692,2474,2551,0.708892,1.24248,0,1,0,0
8,2766,2888,2694,2766,0.690266,1.37278,1,0,0,0
9,2964,3081,2890,2964,0.687722,1.35896,0,0,0,0
10,3158,3278,3083,3158,0.686848,1.4063,0,0,0,0
11,3349,3470,3280,3349,0.702813,1.37169,1,1,0,0
12,3541,3661,3472,3541,0.684399,1.36912,1,1,0,0
13,3735,3850,3663,3735,0.708393,1.36831,2,0,0,0
14,3921,4041,3851,3921,0.671734,1.32565,1,0,0,0
15,4118,4235,4043,4118,0.71637,1.21616,0,1,0,0
16,4316,4547,4236,4316,0.700688,1.20997,3,1,0,0
