# {"down_first":0,"dropped_frames":5,"exercise":"barbell_row","frame_period_s":0.011127621287954687,"frame_rate_hz":89.86646598788096,"line_high_m":0.22403342577630986,"line_low_m":-0.22182401353093786,"line_mid_m":0.0011047061226859972,"lost_frames":0,"n_reps":21,"produced_by":"app: OfflinePipeline","session_id":"session_20260510_122839","smoother_nis":[0.7196313654557642,0.5985329638116208,0.9978604968185945]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,275,347,206,275,0.492625,1.05227,0,1,0,0
2,407,469,348,407,0.43801,1.03046,0,1,0,0
3,527,595,471,527,0.447653,1.10171,0,1,0,0
4,654,714,596,654,0.476487,1.16533,0,1,0,0
5,769,821,715,769,0.380169,0.966586,1,0,0,0
6,871,920,822,871,0.437602,1.24596,0,0,0,0
7,971,1021,922,971,0.400585,1.12264,1,0,0,0
8,1073,1122,1023,1073,0.44444,1.23038,0,1,0,0
9,1171,1216,1123,1171,0.452582,1.31767,0,1,0,0
10,1264,1309,1218,1264,0.457662,1.37186,0,0,0,0
11,1355,1401,1310,1355,0.420114,1.29345,0,0,0,0
12,1450,1501,1402,1450,0.471021,1.34485,0,1,0,0
13,1552,1600,1503,1552,0.46133,1.28184,0,1,0,0
14,1652,1700,1601,1652,0.495266,1.36884,0,1,0,0
15,1752,1802,1702,1752,0.476814,1.29574,0,1,0,0
16,1853,1902,1803,1853,0.48081,1.32446,1,1,0,0
17,1954,2004,1903,1954,0.444709,1.18865,0,0,0,0
18,2056,2106,2005,2056,0.485499,1.30958,1,1,0,0
19,2158,2206,2108,2158,0.430048,1.20717,0,0,0,0
20,2257,2307,2207,2257,0.438278,1.21326,1,0,0,0
21,2357,2445,2308,2357,0.428086,1.20423,0,0,0,0
