# {"down_first":0,"dropped_frames":8,"exercise":"deadlift","frame_period_s":0.011127740865384685,"frame_rate_hz":89.86550029312083,"line_high_m":0.025689548885707885,"line_low_m":-0.5987589910095071,"line_mid_m":-0.28653472106189964,"lost_frames":0,"n_reps":12,"produced_by":"app: OfflinePipeline","session_id":"session_20260510_125742","smoother_nis":[0.24801075206227885,1.3814814088098648,0.8710718538026185]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,1361,1477,1272,1361,0.627124,1.20321,0,1,0,0
2,1562,1685,1479,1562,0.624127,1.00357,0,1,0,0
3,1763,1884,1687,1763,0.62727,1.09164,1,0,0,0
4,1973,2091,1886,1973,0.615853,0.939832,0,1,0,0
5,2176,2297,2093,2176,0.625545,1.03932,0,0,0,0
6,2381,2501,2299,2381,0.617866,0.986983,0,0,0,0
7,2584,2698,2503,2584,0.638,1.03685,0,0,0,0
8,2784,2896,2699,2784,0.636472,1.0292,0,0,0,0
9,2982,3094,2898,2982,0.623431,0.957137,0,0,0,0
10,3182,3289,3096,3182,0.619374,0.991882,2,1,0,0
11,3379,3494,3290,3379,0.628222,0.959924,0,1,0,0
12,3584,3724,3496,3584,0.639021,0.976989,1,1,0,0
