# {"down_first":1,"dropped_frames":0,"exercise":"bench_press","frame_period_s":0.011127760217983652,"frame_rate_hz":89.8653440055163,"line_high_m":0.4327267694494336,"line_low_m":0.01899577023502605,"line_mid_m":0.22586126984222982,"lost_frames":0,"n_reps":12,"produced_by":"app: OfflinePipeline","session_id":"session_20260518_110641","smoother_nis":[1.3668272969164288,0.5765743981742837,0.8341322879927586]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,2508,2633,2633,2693,0.318424,0.75588,0,0,0,0
2,2695,2776,2776,2840,0.398436,0.888964,0,0,0,0
3,2842,2911,2911,2980,0.399537,0.881025,0,0,0,0
4,2982,3047,3047,3113,0.43786,0.887148,0,0,0,0
5,3115,3183,3183,3243,0.401348,1.02138,0,0,1,0
6,3246,3322,3322,3381,0.396998,1.02764,0,0,0,0
7,3383,3463,3463,3555,0.450628,0.953814,0,0,0,0
8,3558,3630,3630,3711,0.464404,0.973861,0,0,0,0
9,3713,3775,3775,3850,0.384894,0.785726,0,0,0,0
10,3930,4001,4001,4072,0.429616,0.981806,0,0,1,0
11,4075,4143,4143,4212,0.449678,0.944178,0,0,1,0
12,4322,4409,4409,4490,0.454379,0.867344,0,0,0,0
