# {"down_first":0,"dropped_frames":9,"exercise":"deadlift","frame_period_s":0.011127856857079392,"frame_rate_hz":89.8645635762122,"line_high_m":-0.052947470423534024,"line_low_m":-0.5929072254958172,"line_mid_m":-0.3229273479596756,"lost_frames":0,"n_reps":16,"produced_by":"app: OfflinePipeline","session_id":"session_20260511_130126","smoother_nis":[17.087145033250078,1.7543328408226764,2.0231725745782487]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,479,595,323,479,0.516975,0.923846,0,1,0,0
2,695,820,598,695,0.525057,0.855018,0,0,0,0
3,896,1067,822,896,0.56621,1.16623,1,0,0,0
4,1181,1292,1069,1181,0.525812,1.02,0,1,0,0
5,1374,1536,1294,1374,0.514783,0.988431,0,0,0,0
6,1619,1781,1539,1619,0.562714,1.07288,0,1,0,0
7,1865,2041,1785,1865,0.553413,1.03653,0,0,0,0
8,2124,2322,2045,2124,0.51915,1.07205,1,0,0,0
9,2423,2595,2349,2423,0.540284,1.02412,0,1,0,0
10,2674,2816,2597,2674,0.536086,1.14322,1,1,0,0
11,2895,3044,2818,2895,0.535777,1.08582,0,1,0,0
12,3125,3350,3047,3125,0.533468,1.06971,2,0,0,0
13,3428,3631,3353,3428,0.541767,1.09103,1,1,0,0
14,3706,3878,3633,3706,0.561897,1.18892,0,0,0,0
15,3950,4108,3881,3950,0.548827,1.18623,0,0,0,0
16,4175,4343,4110,4175,0.580921,1.40677,0,1,0,0
