# {"down_first":1,"dropped_frames":1,"exercise":"bench_press","frame_period_s":0.011127926752364814,"frame_rate_hz":89.86399913060968,"line_high_m":0.4599034413815024,"line_low_m":-0.03868311209275266,"line_mid_m":0.21061016464437488,"lost_frames":50,"n_reps":14,"produced_by":"app: OfflinePipeline","session_id":"session_20260520_140237","smoother_nis":[19.858900178828424,4.816770014198584,12.297997044985143]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,242,277,277,323,0.545458,1.92713,50,0,0,0
2,1227,1337,1337,1397,0.475988,1.1098,0,0,0,0
3,1399,1505,1505,1561,0.476807,1.23012,0,0,1,0
4,1590,1669,1669,1725,0.446384,1.24613,0,0,0,0
5,1752,1827,1827,1887,0.478004,1.24544,0,0,0,0
6,1889,1989,1989,2047,0.450789,1.18559,0,0,0,0
7,2078,2156,2156,2213,0.521705,1.38417,0,0,0,0
8,2243,2312,2312,2370,0.513646,1.38161,0,0,0,0
9,2404,2475,2475,2533,0.51842,1.33937,0,0,0,0
10,2535,2646,2646,2707,0.492856,1.23157,0,0,0,0
11,2739,2822,2822,2890,0.544955,1.23661,0,0,0,0
12,2924,2996,2996,3066,0.505016,1.12212,0,0,0,0
13,3106,3205,3205,3263,0.497271,1.34743,0,0,0,0
14,3412,3490,3490,3594,0.0690407,0.169748,0,0,0,0
