# {"down_first":1,"dropped_frames":4,"exercise":"back_squat","frame_period_s":0.011127877554203712,"frame_rate_hz":89.86439643400246,"line_high_m":0.7712998085207629,"line_low_m":0.3065788782175847,"line_mid_m":0.5389393433691738,"lost_frames":0,"n_reps":16,"produced_by":"app: OfflinePipeline","session_id":"session_20260518_151758","smoother_nis":[0.6728721703503387,2.4201531968659613,0.7901684924221641]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,1273,1356,1356,1468,0.440956,0.988562,0,0,1,0
2,1502,1583,1583,1647,0.504547,1.20058,0,0,1,0
3,1743,1819,1819,1902,0.506173,1.11867,0,0,0,0
4,1909,2046,2046,2127,0.533212,1.17508,0,0,1,0
5,2230,2295,2295,2399,0.497837,1.03855,0,0,0,0
6,2478,2553,2553,2639,0.497281,1.0356,0,0,1,0
7,2780,2855,2855,2919,0.452167,1.00762,0,0,0,0
8,3035,3114,3114,3180,0.469967,1.03837,0,0,0,0
9,3285,3368,3368,3433,0.407787,0.95354,0,0,0,0
10,3552,3627,3627,3711,0.464956,1.0943,1,0,0,0
11,3847,3914,3914,3973,0.458023,1.21857,1,0,0,0
12,4132,4186,4186,4240,0.385757,1.04568,0,0,0,0
13,4417,4480,4480,4536,0.368692,0.986417,0,0,0,0
14,4722,4792,4792,4869,0.369646,0.981508,0,0,0,0
15,5015,5078,5078,5156,0.395178,0.899436,0,0,0,0
16,5287,5359,5359,5418,0.402722,1.00989,0,0,0,0
